"","N.patches","out1","outk","diff","out.pred.1","out.pred.k","max.inf.1","max.inf.k"
"27",26,29.947148892087,29.9298343287862,0.000578505150096575,29.7787297207569,29.7748305422076,9052.18312018172,9049.38047188235
"28",27,29.947148892087,29.9302998642995,0.000562942164422838,29.7787297207569,29.7748248408727,9052.18312018172,9049.25207102879
"29",28,29.947148892087,29.9320696396507,0.000503782485400274,29.7787297207569,29.7748195469727,9052.18312018172,9049.12716528946
"30",29,29.947148892087,29.9306361425945,0.000551700585772757,29.7787297207569,29.7748146183395,9052.18312018172,9049.02249137218
"31",30,29.947148892087,29.932309470393,0.000495766011927174,29.7787297207569,29.7748100184299,9052.18312018172,9048.99297180946
"32",31,29.947148892087,29.9305107591466,0.000555892048558389,29.7787297207569,29.7748057154182,9052.18312018172,9048.91997816996
"33",32,29.947148892087,29.9303935190277,0.00055981131850397,29.7787297207569,29.7748016814584,9052.18312018172,9048.85717184915
"34",33,29.947148892087,29.9284505364233,0.000624768584023755,29.7787297207569,29.7747978920812,9052.18312018172,9048.97811653789
"35",34,29.947148892087,29.9289241826631,0.00060893299447146,29.7787297207569,29.7747943256972,9052.18312018172,9048.88605743985
"36",35,29.947148892087,29.9312023049006,0.000532774695246542,29.7787297207569,29.7747909631854,9052.18312018172,9048.82230175438
"37",36,29.947148892087,29.9327099346941,0.00048238056040938,29.7787297207569,29.7747877875499,9052.18312018172,9048.73441111756
"38",37,29.947148892087,29.9336855761182,0.000449771410022318,29.7787297207569,29.7747847836331,9052.18312018172,9048.82879958425
"39",38,29.947148892087,29.9331114794601,0.000468959354140627,29.7787297207569,29.7747819378735,9052.18312018172,9048.92214187005
"40",39,29.947148892087,29.9331507122302,0.000467648059883586,29.7787297207569,29.7747792381008,9052.18312018172,9048.8442601606
"41",40,29.947148892087,29.9326529666306,0.000484284686442996,29.7787297207569,29.7747766733624,9052.18312018172,9048.935263392
"42",41,29.947148892087,29.9310745826019,0.000537044182651399,29.7787297207569,29.7747742337745,9052.18312018172,9048.86880609866
"43",42,29.947148892087,29.9306802072513,0.000550227549844035,29.7787297207569,29.7747719103949,9052.18312018172,9048.80039886024
"44",43,29.947148892087,29.9302177556965,0.000565687043396004,29.7787297207569,29.7747696951134,9052.18312018172,9048.88312481285
"45",44,29.947148892087,29.9294766916672,0.000590461390347627,29.7787297207569,29.7747675805574,9052.18312018172,9048.96275379255
"46",45,29.947148892087,29.9300289418124,0.000571999121945602,29.7787297207569,29.77476556001,9052.18312018172,9049.03524649377
"47",46,29.947148892087,29.9306101499101,0.000552569496379123,29.7787297207569,29.7747636273383,9052.18312018172,9049.10253048862
"48",47,29.947148892087,29.9299874695288,0.000573385557732632,29.7787297207569,29.7747617769315,9052.18312018172,9049.07210165044
"49",48,29.947148892087,29.930274515919,0.000563789555588535,29.7787297207569,29.7747600036468,9052.18312018172,9049.1376818585
"50",49,29.947148892087,29.9291708244208,0.000600687128007618,29.7787297207569,29.7747583027611,9052.18312018172,9049.20871767002
"51",50,29.947148892087,29.9309115701863,0.000542493397255273,29.7787297207569,29.7747566699291,9052.18312018172,9049.13675365555
"52",51,29.947148892087,29.9344720180925,0.000423487475804398,29.7787297207569,29.7747551011468,9052.18312018172,9049.16046186656
"53",52,29.947148892087,29.9362507161002,0.000364046122212522,29.7787297207569,29.7747535927179,9052.18312018172,9049.20850334266
