"","mean_beta","sigma_beta","outlier_rand","max_inf_rand","time_max_rand","outlier_mean","max_inf_mean","time_max_mean","diff_outl","diff_inf"
"812",0.000176017723299354,2.46370295728406e-07,-2.00800153249909,100,0,-2.00800152801692,100,0,0,0
"813",0.0651991878886798,1.04991703302862e-10,-1.30125723830361,100,0,-1.30125723830337,100,0,0,0
"814",1.27891048602199e-05,15.7221294576488,-2.0097615516886,100,0,-2.0097615516886,100,0,0,0
"815",7.41217583923035e-09,9.47180562956449,-2.0099961369685,100,0,-2.0099961369685,100,0,0,0
"816",6.40228465626286e-09,0.0495367381364203,-2.00970425000517,100,0,-2.00970425000517,100,0,0,0
"817",0.0100878867318826,3.82179909581682e-15,-1.90008635264122,100,0,-1.90008635264122,100,0,0,0
"818",0.0430419218748007,0.0236205377144463,-1.52282235554517,100,0,-1.5252695420828,100,0,0,0
"819",1.34184026756753e-24,4.81956671898066e-12,-2.00984345449198,100,0,-2.00984345449198,100,0,0,0
"820",0.462636030388716,0.144850231742644,3.19587362616845,21532.2890188559,0,3.1776171198137,20933.2296079995,0,0.01,0.03
"821",0.00186507717344805,1.01367347330412e-12,-1.99011161816326,100,0,-1.99011161816329,100,0,0,0
"822",4.00415425624769e-09,0.00012100737796187,-2.00993497622124,100,0,-2.00993497622124,100,0,0,0
"823",1.03264560093379e-05,4.08521350805311e-25,-2.0094913500052,100,0,-2.0094913500052,100,0,0,0
"824",1.22429670106474,7.55443668454499e-08,11.2666605649298,55176.6930244205,0,11.2666605612043,55176.6930488622,0,0,0
"825",5.4551148441336e-11,0.00175356833880059,-2.00970806657566,100,0,-2.00970806657566,100,0,0,0
"826",0.00126042749100847,0.00946978961227193,-1.99677818196339,100,0,-1.99658720839035,100,0,0,0
"827",0.000365327197715742,0.0378620917646998,-2.01012749274511,100,0,-2.01012749274511,100,0,0,0
"828",8.37336283858829e-10,0.0982440139040438,-2.01027546993606,100,0,-2.01027546993606,100,0,0,0
"829",0.236219326594132,3.50303848635553e-15,0.546651764062783,1514.72748599896,0,0.546651764062783,1514.72748599897,0,0,0
"830",1.1762281453897,0.396853556958078,10.0559813636547,52995.0161401555,0,9.92122540468821,52479.3979147411,0,0.01,0.01
"831",5.68989290517607,5.7411261044934e-06,60.1381880886653,85490.9216764412,0,60.1381889623893,85490.9219305189,0,0,0
"832",0.0140631608583692,1.26250369119159e-06,-1.85670404827652,100,0,-1.85670419010404,100,0,0,0
"833",1.03357435980575e-20,4.93608129043967e-05,-2.0101007733625,100,0,-2.0101007733625,100,0,0,0
"834",4.3865969781706,7.15160617224269e-23,46.0672633780994,82365.7995052364,0,46.0672633780994,82365.7995052364,0,0,0
"835",2.49920247759649e-10,2.96636192739684e-11,-2.00990837722323,100,0,-2.00990837722802,100,0,0,0
"836",0.0034676071223943,7.57571240286166e-13,-1.97211437161882,100,0,-1.97211437161882,100,0,0,0
"837",2.68244597512297,1.07843354339039,28.4596763032536,74204.0676422697,0,28.3167844118429,74100.1850594346,0,0.01,0
"838",24.1136716947337,0.00785151929236517,260.304699671939,90365.5348424349,0,260.305085816816,90365.5233822247,0,0,0
