"","beta","gamma","N","muw","state"
"506",0.06,0.8,100,0.55,FALSE
"507",0.06,0.8,100,0.56,FALSE
"508",0.06,0.8,100,0.57,FALSE
"509",0.06,0.8,100,0.58,FALSE
"510",0.06,0.8,100,0.59,FALSE
"511",0.06,0.8,100,0.6,FALSE
"512",0.06,0.8,100,0.61,FALSE
"513",0.06,0.8,100,0.62,FALSE
"514",0.06,0.8,100,0.63,FALSE
"515",0.06,0.8,100,0.64,FALSE
"516",0.06,0.8,100,0.65,FALSE
"517",0.06,0.8,100,0.66,FALSE
"518",0.06,0.8,100,0.67,FALSE
"519",0.06,0.8,100,0.68,FALSE
"520",0.06,0.8,100,0.69,FALSE
"521",0.06,0.8,100,0.7,FALSE
"522",0.06,0.8,100,0.71,FALSE
"523",0.06,0.8,100,0.72,FALSE
"524",0.06,0.8,100,0.73,FALSE
"525",0.06,0.8,100,0.74,FALSE
"526",0.06,0.8,100,0.75,FALSE
"527",0.06,0.8,100,0.76,FALSE
"528",0.06,0.8,100,0.77,FALSE
"529",0.06,0.8,100,0.78,FALSE
"530",0.06,0.8,100,0.79,FALSE
"531",0.06,0.8,100,0.8,FALSE
"532",0.06,0.8,100,0.81,FALSE
"533",0.06,0.8,100,0.82,FALSE
"534",0.06,0.8,100,0.83,FALSE
"535",0.06,0.8,100,0.84,FALSE
"536",0.06,0.8,100,0.85,FALSE
"537",0.06,0.8,100,0.86,FALSE
"538",0.06,0.8,100,0.87,FALSE
"539",0.06,0.8,100,0.88,FALSE
"540",0.06,0.8,100,0.89,FALSE
"541",0.06,0.8,100,0.9,FALSE
"542",0.07,0.8,100,0.01,TRUE
"543",0.07,0.8,100,0.02,TRUE
"544",0.07,0.8,100,0.03,TRUE
"545",0.07,0.8,100,0.04,TRUE
"546",0.07,0.8,100,0.05,TRUE
"547",0.07,0.8,100,0.06,TRUE
"548",0.07,0.8,100,0.07,TRUE
"549",0.07,0.8,100,0.08,TRUE
"550",0.07,0.8,100,0.09,TRUE
"551",0.07,0.8,100,0.1,TRUE
"552",0.07,0.8,100,0.11,FALSE
"553",0.07,0.8,100,0.12,FALSE
"554",0.07,0.8,100,0.13,FALSE
"555",0.07,0.8,100,0.14,FALSE
"556",0.07,0.8,100,0.15,FALSE
"557",0.07,0.8,100,0.16,FALSE
"558",0.07,0.8,100,0.17,FALSE
"559",0.07,0.8,100,0.18,FALSE
"560",0.07,0.8,100,0.19,FALSE
"561",0.07,0.8,100,0.2,FALSE
"562",0.07,0.8,100,0.21,FALSE
"563",0.07,0.8,100,0.22,FALSE
"564",0.07,0.8,100,0.23,FALSE
"565",0.07,0.8,100,0.24,FALSE
"566",0.07,0.8,100,0.25,FALSE
"567",0.07,0.8,100,0.26,FALSE
"568",0.07,0.8,100,0.27,FALSE
