"","N.patches","out1","outk","diff","out.pred.1","out.pred.k","max.inf.1","max.inf.k"
"85",84,90.6522039004751,89.9258254063333,0.00807752935110306,89.3903510787106,89.3345061002804,9705.49199547487,9704.92548965024
"86",85,90.6522039004751,89.92883045961,0.00804384352790996,89.3903510787106,89.3344984139853,9705.49199547487,9705.0396148627
"87",86,90.6522039004751,89.9287974227151,0.00804421385020415,89.3903510787106,89.3344909065022,9705.49199547487,9705.13478011026
"88",87,90.6522039004751,89.9263062303226,0.00807213929473917,89.3903510787106,89.334483571663,9705.49199547487,9705.22074607345
"89",88,90.6522039004751,89.9275078735625,0.00805866907744688,89.3903510787106,89.3344764035804,9705.49199547487,9705.1535838895
"90",89,90.6522039004751,89.932113467582,0.00800704448197603,89.3903510787106,89.3344693966314,9705.49199547487,9705.07931269202
"91",90,90.6522039004751,89.9311587951787,0.00801774507252378,89.3903510787106,89.3344625454431,9705.49199547487,9705.09629064356
"92",91,90.6522039004751,89.9316574572197,0.00801215571500113,89.3903510787106,89.3344558448789,9705.49199547487,9705.17438021492
"93",92,90.6522039004751,89.9297443497939,0.00803359951598586,89.3903510787106,89.3344492900256,9705.49199547487,9705.20200041301
"94",93,90.6522039004751,89.9290826830521,0.00804101627469706,89.3903510787106,89.3344428761813,9705.49199547487,9705.12071525283
"95",94,90.6522039004751,89.9322305025094,0.00800573269385947,89.3903510787106,89.3344365988445,9705.49199547487,9705.08045258498
"96",95,90.6522039004751,89.9332319235008,0.00799450838802141,89.3903510787106,89.3344304537029,9705.49199547487,9705.00514967454
"97",96,90.6522039004751,89.9300549813926,0.00803011762009873,89.3903510787106,89.3344244366242,9705.49199547487,9705.03063631691
"98",97,90.6522039004751,89.9329892190376,0.00799722868863868,89.3903510787106,89.3344185436465,9705.49199547487,9705.12501368121
"99",98,90.6522039004751,89.9320889503334,0.00800731928443682,89.3903510787106,89.3344127709696,9705.49199547487,9705.0521898361
"100",99,90.6522039004751,89.9288749855571,0.00804334442117885,89.3903510787106,89.3344071149471,9705.49199547487,9705.09615338181
"101",100,90.6522039004751,89.9262640779773,0.00807261182192857,89.3903510787106,89.3344015720782,9705.49199547487,9705.02017169963
"102",1,-1.36796419254217,-1.35549593723407,0.00919829780792032,-1.35273116277892,-1.35273116277892,100,100
"103",2,-1.36796419254217,-1.3626014001895,0.00393570148388644,-1.35273116277892,-1.35571668374148,100,100
"104",3,-1.36796419254217,-1.3676545876286,0.000226376540077809,-1.35273116277892,-1.35665737393324,100,100
"105",4,-1.36796419254217,-1.36896910655809,0.000734066248175437,-1.35273116277892,-1.35711808793142,100,100
"106",5,-1.36796419254217,-1.36676219411458,0.000879449572697094,-1.35273116277892,-1.35739150498744,100,100
"107",6,-1.36796419254217,-1.36690970262969,0.000771440798504538,-1.35273116277892,-1.35757254425825,100,100
"108",7,-1.36796419254217,-1.36760455010922,0.000262972533198284,-1.35273116277892,-1.35770125623786,100,100
"109",8,-1.36796419254217,-1.36828679110331,0.000235768234582697,-1.35273116277892,-1.35779746300229,100,100
"110",9,-1.36796419254217,-1.36784383692085,8.79892997071458e-05,-1.35273116277892,-1.35787209739794,100,100
"111",10,-1.36796419254217,-1.36708733797408,0.000641403474186903,-1.35273116277892,-1.35793168366602,100,100
"112",11,-1.36796419254217,-1.36753207567853,0.000315982982286874,-1.35273116277892,-1.3579803561109,100,100
